STATION_ID,DISTRICT,TOWS,SURVEY_YEAR,LATITUDE,LONGITUDE,STRATUM,TOTAL_AREA_SQ_NM,TABLE_NAME,SPECIES_CODE,SPECIES_NAME,Last Load Date,Record Count
A-02,Single,1,1980,55,-166.93333,15,128721,OPILIO CRAB,68580,Opilio Crab,2019-08-15 13:52:09,1
A-02,Single,1,1981,55,-166.93333,15,109072,OPILIO CRAB,68580,Opilio Crab,2019-08-15 13:52:09,1
A-02,Single,1,1982,55,-166.93333,15,122305,OPILIO CRAB,68580,Opilio Crab,2019-08-15 13:52:09,1
A-02,Single,1,1983,55,-166.93333,15,114285,OPILIO CRAB,68580,Opilio Crab,2019-08-15 13:52:09,1
A-02,Single,1,1984,55,-166.93333,15,115087,OPILIO CRAB,68580,Opilio Crab,2019-08-15 13:52:09,1
A-02,Single,1,1985,55,-166.93333,15,114285,OPILIO CRAB,68580,Opilio Crab,2019-08-15 13:52:09,1
A-02,Single,1,1986,55,-166.93333,15,114285,OPILIO CRAB,68580,Opilio Crab,2019-08-15 13:52:09,1
A-02,Single,1,1987,55,-166.93333,15,117894,OPILIO CRAB,68580,Opilio Crab,2019-08-15 13:52:09,1
A-02,Single,1,1988,55,-166.93333,15,123107,OPILIO CRAB,68580,Opilio Crab,2019-08-15 13:52:09,1
A-02,Single,1,1989,55,-166.93333,15,123107,OPILIO CRAB,68580,Opilio Crab,2019-08-15 13:52:09,1
A-02,Single,1,1990,55,-166.93333,15,123107,OPILIO CRAB,68580,Opilio Crab,2019-08-15 13:52:09,1
A-02,Single,1,1991,55,-166.93333,15,123107,OPILIO CRAB,68580,Opilio Crab,2019-08-15 13:52:09,1
A-02,Single,1,1992,55,-166.93333,15,115889,OPILIO CRAB,68580,Opilio Crab,2019-08-15 13:52:09,1
A-02,Single,1,1993,55,-166.93333,15,123107,OPILIO CRAB,68580,Opilio Crab,2019-08-15 13:52:09,1
A-02,Single,1,1994,55,-166.93333,15,123107,OPILIO CRAB,68580,Opilio Crab,2019-08-15 13:52:09,1
A-02,Single,1,1995,55,-166.93333,15,123107,OPILIO CRAB,68580,Opilio Crab,2019-08-15 13:52:09,1
A-02,Single,1,1996,55,-166.93333,15,123107,OPILIO CRAB,68580,Opilio Crab,2019-08-15 13:52:09,1
A-02,Single,1,1997,55,-166.93333,15,123107,OPILIO CRAB,68580,Opilio Crab,2019-08-15 13:52:09,1
A-02,Single,1,1998,55,-166.93333,15,123107,OPILIO CRAB,68580,Opilio Crab,2019-08-15 13:52:09,1
A-02,Single,1,1999,55,-166.93333,15,123107,OPILIO CRAB,68580,Opilio Crab,2019-08-15 13:52:09,1
A-02,Single,1,2000,55,-166.93333,15,123107,OPILIO CRAB,68580,Opilio Crab,2019-08-15 13:52:09,1
A-02,Single,1,2001,55,-166.93333,15,123107,OPILIO CRAB,68580,Opilio Crab,2019-08-15 13:52:09,1
A-02,Single,1,2002,55,-166.93333,15,123107,OPILIO CRAB,68580,Opilio Crab,2019-08-15 13:52:09,1
A-02,Single,1,2003,55,-166.93333,15,123107,OPILIO CRAB,68580,Opilio Crab,2019-08-15 13:52:09,1
A-02,Single,1,2004,55,-166.93333,15,123107,OPILIO CRAB,68580,Opilio Crab,2019-08-15 13:52:09,1
A-02,Single,1,2005,55,-166.93333,15,123107,OPILIO CRAB,68580,Opilio Crab,2019-08-15 13:52:09,1
A-02,Single,1,2006,55,-166.93333,15,123107,OPILIO CRAB,68580,Opilio Crab,2019-08-15 13:52:09,1
A-02,Single,1,2007,55,-166.93333,15,123107,OPILIO CRAB,68580,Opilio Crab,2019-08-15 13:52:09,1
A-02,Single,1,2008,55,-166.93333,15,123107,OPILIO CRAB,68580,Opilio Crab,2019-08-15 13:52:09,1
A-02,Single,1,2009,55,-166.93333,15,123107,OPILIO CRAB,68580,Opilio Crab,2019-08-15 13:52:09,1
A-02,Single,1,2010,55,-166.93333,15,123107,OPILIO CRAB,68580,Opilio Crab,2019-08-15 13:52:09,1
A-02,Single,1,2011,55,-166.93333,15,123107,OPILIO CRAB,68580,Opilio Crab,2019-08-15 13:52:09,1
A-02,Single,1,2012,55,-166.93333,15,123107,OPILIO CRAB,68580,Opilio Crab,2019-08-15 13:52:09,1
A-02,Single,1,2013,55,-166.93333,15,123107,OPILIO CRAB,68580,Opilio Crab,2019-08-15 13:52:09,1
A-02,Single,1,2014,55,-166.93333,15,123107,OPILIO CRAB,68580,Opilio Crab,2019-08-15 13:52:09,1
A-02,Single,1,2015,55,-166.93333,15,123107,OPILIO CRAB,68580,Opilio Crab,2019-08-15 13:52:09,1
A-02,Single,1,2016,55.00892,-166.92004,15,123107,OPILIO CRAB,68580,Opilio Crab,2019-08-15 13:52:09,1
A-02,Single,1,2017,55.00082,-166.93641,15,123107,OPILIO CRAB,68580,Opilio Crab,2019-08-15 13:52:09,1
A-02,Single,1,2018,55.02678,-166.93989,15,123107,OPILIO CRAB,68580,Opilio Crab,2019-08-15 13:52:09,1
A-02,Single,1,2019,54.99162,-166.9309,15,123107,OPILIO CRAB,68580,Opilio Crab,2019-08-15 13:52:09,1
